team,games,wins,win_pct,covers,cover_pct,win_rating,spread_rating,value_score
Pacific Tigers,14,8,0.5714285714285714,8,0.5714285714285714,0.25756841074189485,0.22707107730840148,-0.030497333433493368
North Dakota St Bison,13,8,0.6153846153846154,7,0.5384615384615384,0.3015277361096344,0.22625105381813826,-0.07527668229149614
Eastern Washington Eagles,12,1,0.08333333333333333,7,0.5833333333333334,0.06629188320632813,0.22605920860962916,0.15976732540330102
Quinnipiac Bobcats,13,8,0.6153846153846154,7,0.5384615384615384,0.3123562508001486,0.22517732311056493,-0.08717892768958369
Alabama Crimson Tide,14,11,0.7857142857142857,7,0.5,0.6133277357483313,0.22463111407600012,-0.3886966216723312
Stanford Cardinal,15,12,0.8,8,0.5333333333333333,0.553030692753234,0.22268321323608392,-0.3303474795171501
North Carolina Tar Heels,15,13,0.8666666666666667,9,0.6,0.6437074816559136,0.22174590982718026,-0.4219615718287334
Delaware Blue Hens,12,5,0.4166666666666667,6,0.5,0.14888752672502556,0.22126807958486144,0.07238055285983588
North Dakota Fighting Hawks,15,5,0.3333333333333333,9,0.6,0.06330120721342683,0.22025242262118494,0.1569512154077581
California Golden Bears,14,12,0.8571428571428571,7,0.5,0.49988909791018366,0.2174725441722733,-0.28241655373791036
Green Bay Phoenix,12,4,0.3333333333333333,6,0.5,0.09696060672242426,0.2165131061064261,0.11955249938400184
Stony Brook Seawolves,13,6,0.46153846153846156,7,0.5384615384615384,0.10789113293864287,0.21634824483291945,0.10845711189427658
Colgate Raiders,12,5,0.4166666666666667,7,0.5833333333333334,0.1454417054808372,0.21622408123928905,0.07078237575845184
SE Missouri St Redhawks,11,5,0.45454545454545453,5,0.45454545454545453,0.14693211461173394,0.21617260367464292,0.06924048906290897
Mercyhurst Lakers,12,3,0.25,7,0.5833333333333334,0.09334508862274854,0.21516244947200333,0.12181736084925479
Richmond Spiders,13,9,0.6923076923076923,7,0.5384615384615384,0.3872445152643583,0.21318226818708957,-0.17406224707726875
CSU Northridge Matadors,14,7,0.5,7,0.5,0.15918775773301141,0.21193430018476733,0.05274654245175592
Marshall Thundering Herd,12,8,0.6666666666666666,4,0.3333333333333333,0.34300855528659946,0.21176460605964986,-0.1312439492269496
Northeastern Huskies,12,4,0.3333333333333333,7,0.5833333333333334,0.11347419432552172,0.21172956858159733,0.09825537425607561
Cal Poly Mustangs,14,4,0.2857142857142857,6,0.42857142857142855,0.07031973107859407,0.2107260739343273,0.14040634285573322
Wake Forest Demon Deacons,15,10,0.6666666666666666,6,0.4,0.3762157856364278,0.20945914699326848,-0.16675663864315934
Montana Grizzlies,10,5,0.5,5,0.5,0.20203562130642327,0.20944712372241867,0.007411502415995391
Auburn Tigers,14,9,0.6428571428571429,9,0.6428571428571429,0.4269168235134559,0.20915568481251562,-0.21776113870094027
Houston Christian Huskies,12,3,0.25,6,0.5,0.07209684638171722,0.20602231779474042,0.1339254714130232
UL Monroe Warhawks,13,1,0.07692307692307693,7,0.5384615384615384,0.019588829323746067,0.20516800658460102,0.18557917726085496
Holy Cross Crusaders,13,4,0.3076923076923077,7,0.5384615384615384,0.06518573839869525,0.2038777631142676,0.13869202471557235
Howard Bison,11,5,0.45454545454545453,7,0.6363636363636364,0.13686157684150965,0.20126395381534354,0.06440237697383389
South Florida Bulls,9,6,0.6,4,0.4444444444444444,0.38231379225176154,0.2009228118834306,-0.18139098036833093
Santa Clara Broncos,16,12,0.75,8,0.5,0.5804792053544244,0.19995341867922214,-0.3805257866752023
UMass Lowell River Hawks,12,3,0.25,6,0.5,0.0761462061606847,0.19609524424740357,0.11994903808671888
TCU Horned Frogs,14,11,0.7857142857142857,8,0.5714285714285714,0.49015367066223614,0.1948443982187024,-0.2953092724435338
Virginia Cavaliers,14,12,0.8571428571428571,8,0.5714285714285714,0.6575752705612007,0.1944356009201465,-0.4631396696410542
Vermont Catamounts,11,5,0.45454545454545453,6,0.5454545454545454,0.21282938696475456,0.19416285990502216,-0.018666527059732402
Longwood Lancers,10,4,0.4,4,0.4,0.1562323060710453,0.19369502460698051,0.03746271853593522
Dartmouth Big Green,12,5,0.4166666666666667,6,0.5,0.12740735310103127,0.19287390558536813,0.06546655248433686
Davidson Wildcats,13,8,0.6153846153846154,6,0.46153846153846156,0.3162826638682362,0.1927149532251413,-0.12356771064309494
Princeton Tigers,15,4,0.26666666666666666,9,0.6,0.10132298074443695,0.1921050450373296,0.09078206429289266
Michigan St Spartans,15,13,0.8666666666666667,8,0.5333333333333333,0.8091732866468939,0.19114020209661897,-0.618033084550275
SE Louisiana Lions,13,4,0.3076923076923077,6,0.46153846153846156,0.08527626028249158,0.1903202823146651,0.10504402203217353
Robert Morris Colonials,13,8,0.6153846153846154,7,0.5384615384615384,0.17707851063900273,0.18985291204684865,0.012774401407845914
Campbell Fighting Camels,14,6,0.42857142857142855,7,0.5,0.14200727412850184,0.18935238436546664,0.047345110236964805
Northwestern St Demons,12,2,0.16666666666666666,6,0.5,0.062239739238337935,0.18509380367390724,0.1228540644355693
New Hampshire Wildcats,10,2,0.2,5,0.5,0.05883106689096569,0.18311245016483407,0.12428138327386838
Tennessee Tech Golden Eagles,12,3,0.25,6,0.5,0.08924867664566008,0.18210859973130514,0.09285992308564506
Hawai'i Rainbow Warriors,12,9,0.75,5,0.4166666666666667,0.39671326136747076,0.18188535767033642,-0.21482790369713434
Texas A&M Aggies,14,11,0.7857142857142857,7,0.5,0.3917678367663133,0.18133161840512932,-0.210436218361184
Miss Valley St Delta Devils,14,0,0.0,6,0.42857142857142855,0.029296270579917717,0.18052413958545557,0.15122786900553786
New Mexico St Aggies,9,4,0.4444444444444444,4,0.4444444444444444,0.23326202080722386,0.1804967121246519,-0.052765308682571954
Coastal Carolina Chanticleers,15,7,0.4666666666666667,7,0.4666666666666667,0.09752086328878562,0.17960320389944315,0.08208234061065753
Stonehill Skyhawks,11,2,0.18181818181818182,6,0.5454545454545454,0.05076290562573243,0.17885687761823985,0.1280939719925074
Harvard Crimson,11,4,0.36363636363636365,5,0.45454545454545453,0.12172147679514773,0.17573590773431141,0.05401443093916368
Northern Illinois Huskies,12,3,0.25,6,0.5,0.07486389796087463,0.17468821111713626,0.09982431315626163
CSU Bakersfield Roadrunners,13,4,0.3076923076923077,6,0.46153846153846156,0.05518240234763067,0.17457972535738353,0.11939732300975286
West Virginia Mountaineers,13,9,0.6923076923076923,7,0.5384615384615384,0.39716011402051504,0.17446818115261403,-0.222691932867901
